Food Name,Amount,Price
"7-Eleven, Fresh, Breakfast Burger, Bacon, Egg & Cheese",1.00 pack,125
"Apple, Fresh, With Skin","1.00 medium - 3"" diameter",40
"Apple, Fresh, With Skin","0.25 large - 3 1/4"" diameter",20
"Apple, Fresh, With Skin","0.75 large - 3 1/4"" diameter",32.5
"Apple, Fresh, With Skin","1.00 large - 3 1/4"" diameter",47.5
Argentina Corned Beef,1.00 can,35
"Bacon, Pork","8.00 slice - 6"" long",100
"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",12.5
"Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",7.5
"Banana, Fried","1.00 medium - 7"" to 7 7/8"" long",15
"Banana, Fried","2.00 medium - 7"" to 7 7/8"" long",25
"Beef Steak, Sirloin, No Visible Fat Eaten",100.00 g,75
"Beef Steak, Sirloin, No Visible Fat Eaten",700.00 g,525
Beef with Curry Sauce,1.00 cup,100
"Beer, Higher Alcohol",2.00 bottle - each 12 fl oz,125
Brandy,4.00 jigger/shot - each 1.5 fl oz,75
"Brown Rice, Steamed",1.00 cup,17.5
C-Lium Fibre,1.00 Pack,23
"Century Tuna, Flakes in Oil",2.00 serving,35
"Century Tuna, Flakes in Oil",4.00 oz,55
"Century Tuna, Flakes in Oil",3.00 serving,45
Cheese Popcorn,10.00 bag - single serving - each 1 oz,250
Cheese Popcorn,8.00 bag - single serving - each 1 oz,200
Cheese Popcorn,4.00 bag - single serving - each 1 oz,150
"Chicken Breast, Skin Removed Before Cooking",1.00 medium - split,50
"Chicken Breast, Skin Removed Before Cooking",1.00 cup,70
"Chicken Breast, Skin Removed Before Cooking",200.00 g,85
"Chicken Breast, Skin Removed Before Cooking",100.00 g,28
"Chicken Breast, Skin Removed Before Cooking",300.00 g,105
"Chicken Breast, Skin Removed Before Cooking",400.00 g,140
"Chicken Nuggets or Sticks, Store Bought",3.00 nugget,40
"Chicken Thigh, Skin Eaten",1.00 large,40
Chicken and Potatoes,1.00 full recipe,125
Chicken and Veggies,1.00 full recipe,100
"Chicken patty, frozen, cooked",4.00 patty,100
Chicken with Gravy,1.00 cup,80
"Chinese Cabbage, Pak-Choi, Raw",50.00 g,20
"Chinese Cabbage, Pak-Choi, Raw",25.00 g,10
"Cobra, Energy Drink, ImmuniPlus+, Original",1.00 x 240.0 ml,25
"Cobra, Energy Drink, ImmuniPlus+, Original",0.50 x 240.0 ml,12.5
Collagen Vit C Zinc,1.00  capsule,30
"Dairy Queen, Blizzard, Oreo Cookies",1.00 medium,110
Egg and Corned Beef,1.00 full recipe,80
Egg and Tuna,1.00 full recipe,90
"Eggs, Cooked",3.00 large,30
"Eggs, Cooked",1.50 large,15
"Fico, Potato Crisps, Sweet & Sour",100.00 g,45
"Force of Nature, Beef Hotdog",1.00 Link,60
"Gardenia, High Fiber Wheat Raisin Loaf",2.00 Slice,14
"Gardenia, High Fiber Wheat Raisin Loaf",1.00 Slice,7
"Gardenia, High Fiber Whole Wheat Bread",1.00 x 2.0 Slices,12
"Gardenia, High Fiber Whole Wheat Bread",2.00 x 2.0 Slices,24
"Hamburger Bun, White","2.00 medium - 3 1/2"" diameter",30
Hosen Baked Beans,1.00 can,45
Iced Coffee,1.00 full recipe,80
"Kalbe, Fitbar, Chocolate",1.00 bar,60
"Kejoy, Donut, Dark Chocolate Almond",1.00 donut,70
Kettle Korn by Joey Salted Caramel,3.33 serving,50
Kettle Korn by Joey Salted Caramel,1.66 serving,25
Kettle Korn by Joey Salted Caramel,5.00 serving,75
"Kopiko, Lucky Day, Strong and Creamy Coffee",2.00 bottle (180ml),50
"Kopiko, Lucky Day, Strong and Creamy Coffee [Copy]",1.00 bottle (180ml),25
"Lovely Pao, Siopao, Chicken Asado",1.00 siopao,45
Mac and Cheese,2.00 full recipe,150
Mac and Cheese,1.00 full recipe,100
Mac and Cheese,3.00 full recipe,200
"McCain, Mixed Veg",1.50 Serving,50
"McDonald's Australia, Chocolate Soft Serve Caramel Sundae, Large",1.00 Serving,100
"McDonald's, French Fries",2.00 large - order,80
"Mung Beans, Cooked from Dried",400.00 g,48
"Mung Beans, Cooked from Dried",200.00 g,24
"Mung Beans, Cooked from Dried",100.00 g,12
"Nescafe, Instant Coffee ",1.00 tsp,5
"Nescafe, Instant Coffee ",2.00 tsp,10
"Nescafe, Instant Coffee Stick, Classic",1.00  stick,15
"Olive Garden, Breadstick, Garlic Butter",4.00 Each,20
"Olive Garden, House Salad, with Dressing",1.00 Each,60
"Olive Garden, pizza, cheese, kids'",2.00 Kids',100
"Olive Garden, soup, chicken & gnocchi",2.00 Bowl,90
"Pancake, Plain or Buttermilk, Homemade","3.00 each - 4"" diameter",50
"Peanut Butter, Regular, Salted",1.00 tbsp,10
"Pear, Fresh",1.00 large,40
"Pinkberry, milkshake, mango pineapple",22.00 oz,120
"Pizza, Homemade or Restaurant, One Meat Topping, Thick Crust or Deep Dish",300.00 g,100
Protein Drink,1.00 full recipe,80
"Pukka, Pizza Slice, Pepperoni",1.00 Serving,70
"Quaker, Instant Oatmeal, Chocolate",32.00 g,30
"Quaker, Instant Oatmeal, Chocolate",66.00 g,60
"Quaker, Instant Oatmeal, Chocolate",64.00 g,55
"Quaker, Instant Oatmeal, Philippines",33.00 g,35
"Quaker, Instant Oatmeal, Plain",1.00 packet - prepared,25
"Quaker, Instant Oatmeal, Plain",2.00 packet - prepared,50
"Quaker, Oaties Mini Oat Cookies, Honey Nuts",1.00 Package,40
"Rebisco, Crackers",1.00 Pack,30
"Rice, White, Short-Grain, Cooked, Unenriched",3.00 cup,21
"Rice, White, Short-Grain, Cooked, Unenriched",2.00 cup,14
"Rice, White, Short-Grain, Cooked, Unenriched",1.50 cup,10.5
