Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-10-06,"Breakfast","Gardenia, Enriched White Bread","2.00 x 2.0 slices",300.00,,,,0.88,0.54,5.76,,,,194.47,955.59,4.02,,,,195.04,,5.16,,,,,,500.00,,62.40,2.80,,4.20,,59.60,2.20,0.00,,,1.00,0.00,,,,,,,,,,11.20,,,,,"Baked Products"
2024-10-06,"Breakfast","Cheez Whiz, Original Spread","2.00 Portion",168.00,,,,,,,,,,,480.00,,84.00,,,228.00,,,,,510.00,,,900.00,,6.60,0.30,,4.80,,6.30,13.20,10.20,,,9.60,0.30,,,,,,,,,,6.00,,,,,"Fats and Oils"
2024-10-06,"Breakfast","Rule 1, R1 Protein, Cookies & Cream","1.00 Scoop",100.00,,,,,,,,,,,0.00,0.00,,,,100.00,,0.72,,,,,,50.00,,1.00,0.00,,0.00,,1.00,0.00,5.00,,,0.00,0.00,,,,,,,,,,25.00,,,,,"Supplements"
2024-10-06,"Breakfast","Eggs, Cooked","1.00 extra large",86.80,0.00,0.00,41.79,0.04,0.29,0.04,0.78,0.07,0.62,24.64,83.63,0.00,48.72,0.58,0.17,28.00,0.01,0.67,5.60,0.01,96.32,70.56,17.25,69.44,0.59,0.63,0.00,0.00,0.63,0.00,0.62,5.94,208.88,2.28,0.79,1.83,0.00,0.04,0.74,0.16,0.17,0.38,0.60,0.51,0.22,0.37,7.04,0.34,0.09,0.29,0.43,"Dairy and Egg Products"
2024-10-06,"Breakfast","Banana, Fresh","2.00 small - 6"" to 6 7/8"" long",179.78,0.00,0.00,151.32,0.06,0.15,1.34,0.67,0.74,0.00,40.40,6.48,17.57,0.00,0.26,1.01,10.10,0.16,0.53,54.54,0.55,44.44,723.16,2.02,2.02,0.30,46.14,5.25,10.87,24.70,0.00,40.87,0.67,0.00,0.06,0.15,0.23,0.00,0.05,0.09,0.02,0.16,0.06,0.14,0.10,0.02,0.10,2.20,0.06,0.02,0.02,0.09,"Fruits and Fruit Juices"
2024-10-06,"Lunch","Rule 1, R1 Protein, Cookies & Cream","1.00 Scoop",100.00,,,,,,,,,,,0.00,0.00,,,,100.00,,0.72,,,,,,50.00,,1.00,0.00,,0.00,,1.00,0.00,5.00,,,0.00,0.00,,,,,,,,,,25.00,,,,,"Supplements"
2024-10-06,"Lunch","Meringue, Shell","4.00 each - 3"" diameter",317.27,0.00,0.00,43.89,0.00,0.23,0.05,0.10,0.00,0.04,2.00,0.00,0.00,0.00,0.00,0.00,4.29,0.02,0.09,5.52,0.01,7.53,145.04,10.47,84.11,0.02,75.58,0.00,0.00,75.21,74.85,75.58,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.33,0.51,0.40,0.20,0.34,5.46,0.23,0.06,0.23,0.41,"Sweets"
2024-10-06,"Lunch","Droste, Pastilles, Milk","8.00 few pieces",1840.00,,,,,,,,,,,,,,,,0.00,,0.00,,,,0.00,,240.00,,176.00,4.00,,168.00,,172.00,112.00,0.00,,,72.00,0.00,,,,,,,,,,16.00,,,,,"Sweets"
2024-10-06,"Lunch","Kettle Korn by Joey Salted Caramel","10.00 serving",1300.00,,,,,,,,,,,,,,,,,,1.80,,,,,,1500.00,,160.00,5.00,,160.00,,155.00,70.00,0.00,,,50.00,0.00,,,,,,,,,,10.00,,,,,""
2024-10-06,"Dinner","Chicken, Whole, Skin Eaten","20.00 g",47.80,0.00,0.00,11.89,0.01,0.03,1.70,0.21,0.08,0.06,1.00,9.60,0.00,0.40,0.05,0.48,3.00,0.01,0.25,4.60,0.00,36.40,44.60,4.78,16.40,0.39,0.00,0.00,0.00,0.00,0.00,0.00,2.72,17.60,1.07,0.59,0.76,0.09,0.04,0.54,0.07,0.16,0.27,0.40,0.44,0.15,0.21,5.46,0.23,0.06,0.18,0.27,"Poultry Products"
2024-10-06,"Dinner","Mixed Vegetables, Broccoli, Cauliflower and Carrots","2.00 cup, cut pieces",86.80,0.00,0.00,284.21,0.13,0.18,1.22,0.56,0.31,0.00,111.60,927.38,76.16,0.00,2.07,117.39,87.83,0.15,1.60,34.10,0.56,107.47,488.77,1.96,90.93,0.78,17.39,9.30,1.22,6.53,0.00,7.81,1.05,0.00,0.06,0.51,0.18,0.00,0.17,0.00,0.10,0.12,0.24,0.31,0.32,0.07,0.20,5.47,0.29,0.06,0.14,0.28,"Vegetables and Vegetable Products"
