Day,Group,Metric,Unit,Amount
2024-03-19,Uncategorized,"Weight",kg,93.5
2024-03-24,Uncategorized,"Weight",kg,87.5
2024-03-27,Uncategorized,"Weight",kg,85.8
2024-04-10,Uncategorized,"Weight",kg,86.35
2024-04-15,Uncategorized,"Weight",kg,85.45
2024-05-18,Uncategorized,"Weight",kg,78.3
2024-06-07,Uncategorized,"Weight",lbs,170.9
2024-06-07,Uncategorized,"Weight",kg,77.5189
2024-06-08,Uncategorized,"Body Fat",%,22.0
2024-06-24,Uncategorized,"Weight",lbs,166.0
2024-07-01,Uncategorized,"Weight",lbs,170.7
2024-07-04,Uncategorized,"Weight",lbs,165.9
2024-07-05,Uncategorized,"Weight",lbs,163.4
2024-07-06,Uncategorized,"Weight",lbs,162.6
2024-07-13,Uncategorized,"Weight",lbs,160.0
2024-07-15,Uncategorized,"Weight",lbs,162.0
2024-07-25,Lunch,"Weight",lbs,159.0
2024-08-02,Uncategorized,"Weight",lbs,157.0
2024-08-04,Uncategorized,"Weight",lbs,158.5
2024-08-06,Uncategorized,"Weight",lbs,161.7
2024-08-07,Uncategorized,"Weight",lbs,161.0
2024-08-08,Breakfast,"Weight",lbs,160.6
2024-08-09,Uncategorized,"Weight",lbs,159.8
2024-08-10,Uncategorized,"Weight",lbs,160.3
2024-08-11,Uncategorized,"Weight",lbs,158.6
2024-08-12,Uncategorized,"Weight",lbs,158.1
2024-08-13,Uncategorized,"Weight",lbs,157.6
2024-08-15,Uncategorized,"Weight",lbs,156.3
2024-08-16,Uncategorized,"Weight",lbs,158.9
2024-08-17,Uncategorized,"Weight",lbs,161.6
2024-08-22,Uncategorized,"Weight",lbs,156.2
2024-08-24,Uncategorized,"Weight",lbs,162.4
