Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-08-16,"Uncategorized","Coffee-Mate, French Vanilla Creamer","16.00 oz",1120.38,,,245.52,,,,,,,,,,,,,,,,,,,,,,,160.05,,,160.05,,160.05,48.02,,,,,,,,,,,,,,,0.00,,,,,"Beverages"
2024-08-16,"Uncategorized","Kejoy, Donut, Dark Chocolate Almond","2.00 donut",480.00,,,,,,,,,,,,,104.00,,,60.00,,3.40,10.00,,,400.00,,300.00,,38.00,18.00,,2.00,0.00,12.00,40.00,0.00,,,20.00,0.00,,,,,,,,,,12.00,,,,,"Sweets"
2024-08-16,"Breakfast","Krispy Kreme, Glazed Chocolate Cake Doughnut Holes, Glazed Chocolate Cake","8.00 serving",1358.64,,,,,,,,,,,,,0.00,,,159.12,,11.51,,,,558.96,,1680.96,,216.00,8.16,,127.99,119.95,207.84,56.02,118.32,,,19.99,0.00,,,,,,,,,,15.99,,,,,""
2024-08-16,"Breakfast","Banana, Fried","3.00 medium - 7"" to 7 7/8"" long",495.73,0.00,0.00,235.18,0.11,0.26,2.35,1.18,1.30,0.00,70.80,11.36,30.80,0.00,2.13,39.36,17.70,0.28,0.93,95.58,0.96,77.88,1267.32,12.91,3.54,0.53,80.85,9.20,19.05,43.29,0.00,71.62,21.61,0.00,4.77,12.06,3.60,0.11,1.48,10.47,0.03,0.27,0.10,0.24,0.18,0.03,0.18,3.86,0.10,0.03,0.03,0.17,"Fruits and Fruit Juices"
2024-08-16,"Breakfast","Apple, Fresh, With Skin","1.00 large - 3 1/4"" diameter",115.96,0.00,0.00,190.80,0.04,0.06,0.20,0.14,0.09,0.00,6.69,6.04,10.26,0.00,0.47,4.91,13.38,0.06,0.27,11.15,0.08,24.53,238.61,0.00,2.23,0.09,30.80,5.35,0.11,23.17,0.00,23.64,0.38,0.00,0.02,0.11,0.06,0.00,0.02,0.10,0.00,0.01,0.01,0.03,0.03,0.00,0.01,0.58,0.01,0.00,0.00,0.03,"Fruits and Fruit Juices"
2024-08-16,"Lunch","Dr. Mercola KetoFast Cookbook,Chinese Cabbage and Mung Bean Soup","2.00 full recipe",615.08,0.00,0.00,919.73,0.31,0.43,7.37,1.78,1.07,0.23,219.77,98.65,60.12,3.99,1.21,179.90,251.80,0.50,4.12,123.08,1.21,324.17,1430.14,20.09,2687.06,2.72,42.95,9.38,3.41,19.01,0.44,32.17,40.25,51.32,6.75,4.11,25.74,0.28,0.20,3.51,0.31,0.64,1.17,1.63,1.79,0.52,0.93,25.32,0.93,0.30,0.70,1.14,"Soups, Sauces, and Gravies"
2024-08-16,"Lunch","Chicken Breast, Skin Removed Before Cooking","350.00 g",605.50,0.00,0.00,226.66,0.23,0.41,43.47,3.40,2.10,1.19,14.00,31.50,0.00,17.50,0.95,1.05,52.50,0.18,3.71,94.50,0.06,756.00,864.50,85.40,269.50,4.31,0.00,0.00,0.00,0.00,0.00,0.00,15.79,297.50,5.39,3.43,4.45,0.32,0.35,2.87,1.39,3.36,5.71,8.12,9.19,2.99,4.29,108.18,4.57,1.26,3.65,5.37,"Poultry Products"
2024-08-17,"Uncategorized","Krispy Kreme, Glazed Chocolate Cake Doughnut Holes, Glazed Chocolate Cake","8.00 serving",1358.64,,,,,,,,,,,,,0.00,,,159.12,,11.51,,,,558.96,,1680.96,,216.00,8.16,,127.99,119.95,207.84,56.02,118.32,,,19.99,0.00,,,,,,,,,,15.99,,,,,""
2024-08-17,"Uncategorized","Coffee-Mate, French Vanilla Creamer","16.00 oz",1120.38,,,245.52,,,,,,,,,,,,,,,,,,,,,,,160.05,,,160.05,,160.05,48.02,,,,,,,,,,,,,,,0.00,,,,,"Beverages"
2024-08-17,"Breakfast","Hosen Baked Beans","1.00 can",226.58,,,,,,,,,,,,,,,,,,,,,,,,1200.00,,39.90,14.70,,10.50,,25.20,0.00,0.00,,,0.00,0.00,,,,,,,,,,17.10,,,,,""
2024-08-17,"Breakfast","Ligo, Sardines in Tomato Sauce","2.00 x 0.25 cup",100.00,,,,,,,,,,,,,,,,,,,,,,,,1200.00,,6.00,0.00,,4.00,,6.00,5.00,32.00,,,2.00,0.00,,,,,,,,,,12.00,,,,,"Finfish and Shellfish Products"
2024-08-17,"Breakfast","Chicken Breast, Skin Removed Before Cooking","350.00 g",605.50,0.00,0.00,226.66,0.23,0.41,43.47,3.40,2.10,1.19,14.00,31.50,0.00,17.50,0.95,1.05,52.50,0.18,3.71,94.50,0.06,756.00,864.50,85.40,269.50,4.31,0.00,0.00,0.00,0.00,0.00,0.00,15.79,297.50,5.39,3.43,4.45,0.32,0.35,2.87,1.39,3.36,5.71,8.12,9.19,2.99,4.29,108.18,4.57,1.26,3.65,5.37,"Poultry Products"
