Workout ID,Title,Start Time,End Time,Exercise Title,Set Type,Reps,Weight (kg),Distance (meters),Duration (seconds),RPE
5a1ab187-212e-4ff1-8bc3-df4f71944747,Core + Cardio,2024-10-10T06:56:10+00:00,2024-10-10T07:02:20+00:00,Lying Leg Raise,normal,20.0,,,,
5a1ab187-212e-4ff1-8bc3-df4f71944747,Core + Cardio,2024-10-10T06:56:10+00:00,2024-10-10T07:02:20+00:00,Lying Leg Raise,normal,20.0,,,,
5a1ab187-212e-4ff1-8bc3-df4f71944747,Core + Cardio,2024-10-10T06:56:10+00:00,2024-10-10T07:02:20+00:00,Lying Leg Raise,normal,20.0,,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Pushdown,normal,14.0,25.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Pushdown,normal,5.0,30.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Pushdown,normal,8.0,25.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Bicep Curl (Machine),normal,6.0,42.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Bicep Curl (Machine),normal,6.0,42.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Bicep Curl (Machine),normal,7.0,42.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Extension (Machine),normal,5.0,35.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Extension (Machine),normal,6.0,35.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Triceps Extension (Machine),normal,5.0,35.0,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Hammer Curl (Dumbbell),normal,12.0,12.5,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Hammer Curl (Dumbbell),normal,8.0,12.5,,,
691f54a8-0800-4224-9388-9b4a6f295a30,Arms,2024-10-10T06:09:15+00:00,2024-10-10T06:48:20+00:00,Hammer Curl (Dumbbell),normal,6.0,12.5,,,
889c95c0-71f0-469e-bff2-51d013cbc227,Core + Cardio,2024-10-08T03:47:54+00:00,2024-10-08T05:51:46+00:00,Lying Leg Raise,normal,20.0,,,,
889c95c0-71f0-469e-bff2-51d013cbc227,Core + Cardio,2024-10-08T03:47:54+00:00,2024-10-08T05:51:46+00:00,Lying Leg Raise,normal,20.0,,,,
889c95c0-71f0-469e-bff2-51d013cbc227,Core + Cardio,2024-10-08T03:47:54+00:00,2024-10-08T05:51:46+00:00,Lying Leg Raise,normal,20.0,,,,
889c95c0-71f0-469e-bff2-51d013cbc227,Core + Cardio,2024-10-08T03:47:54+00:00,2024-10-08T05:51:46+00:00,Treadmill,normal,,,7467.0,3600.0,
ab43782c-f1a8-4887-9f3a-63c9935442d6,Pull,2024-10-08T03:02:07+00:00,2024-10-08T03:42:23+00:00,Lat Pulldown (Machine),normal,7.0,24.5,,,
ab43782c-f1a8-4887-9f3a-63c9935442d6,Pull,2024-10-08T03:02:07+00:00,2024-10-08T03:42:23+00:00,Lat Pulldown (Machine),normal,7.0,24.5,,,
ab43782c-f1a8-4887-9f3a-63c9935442d6,Pull,2024-10-08T03:02:07+00:00,2024-10-08T03:42:23+00:00,Lat Pulldown (Machine),normal,9.0,24.5,,,
ab43782c-f1a8-4887-9f3a-63c9935442d6,Pull,2024-10-08T03:02:07+00:00,2024-10-08T03:42:23+00:00,Seated Row (Machine),normal,6.0,80.0,,,
